"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 12:19:02 GMT 2024","Fri Jan 05 12:19:04 GMT 2024","1851","tests","test_misc","TestMiscellaneous","","","Verify Subscription in home page",""
"passed","Fri Jan 05 12:18:46 GMT 2024","Fri Jan 05 12:18:47 GMT 2024","882","tests","test_authorization","TestAuthorization","","","Login User with incorrect email and password",""
"passed","Fri Jan 05 12:19:05 GMT 2024","Fri Jan 05 12:19:07 GMT 2024","1906","tests","test_products","TestProducts","","","Verify All Products and product detail page",""
"passed","Fri Jan 05 12:18:52 GMT 2024","Fri Jan 05 12:18:53 GMT 2024","957","tests","test_authorization","TestAuthorization","","","Register User with existing email",""
"passed","Fri Jan 05 12:18:48 GMT 2024","Fri Jan 05 12:18:50 GMT 2024","2201","tests","test_authorization","TestAuthorization","","","Logout User",""
"passed","Fri Jan 05 12:18:41 GMT 2024","Fri Jan 05 12:18:44 GMT 2024","3145","tests","test_authorization","TestAuthorization","","","Login User with correct email and password",""
"passed","Fri Jan 05 12:18:33 GMT 2024","Fri Jan 05 12:18:39 GMT 2024","5751","tests","test_authorization","TestAuthorization","","","Register User",""
"passed","Fri Jan 05 12:19:10 GMT 2024","Fri Jan 05 12:19:12 GMT 2024","2188","tests","test_products","TestProducts","","","Search Product",""
"passed","Fri Jan 05 12:18:55 GMT 2024","Fri Jan 05 12:18:57 GMT 2024","2580","tests","test_misc","TestMiscellaneous","","","Contact Us Form",""
"passed","Fri Jan 05 12:18:59 GMT 2024","Fri Jan 05 12:19:00 GMT 2024","630","tests","test_misc","TestMiscellaneous","","","Verify Test Cases Page",""
