"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 13:54:31 GMT 2024","Fri Jan 05 13:54:32 GMT 2024","546","tests","test_misc","TestMiscellaneous","","","Verify Test Cases Page",""
"passed","Fri Jan 05 13:54:39 GMT 2024","Fri Jan 05 13:54:41 GMT 2024","2183","tests","test_products","TestProducts","","","Verify All Products and product detail page",""
"passed","Fri Jan 05 13:54:12 GMT 2024","Fri Jan 05 13:54:16 GMT 2024","3588","tests","test_authorization","TestAuthorization","","","Login User with correct email and password",""
"passed","Fri Jan 05 13:54:25 GMT 2024","Fri Jan 05 13:54:26 GMT 2024","927","tests","test_authorization","TestAuthorization","","","Register User with existing email",""
"passed","Fri Jan 05 13:54:43 GMT 2024","Fri Jan 05 13:54:45 GMT 2024","2079","tests","test_products","TestProducts","","","Search Product",""
"passed","Fri Jan 05 13:54:05 GMT 2024","Fri Jan 05 13:54:10 GMT 2024","4812","tests","test_authorization","TestAuthorization","","","Register User",""
"passed","Fri Jan 05 13:54:27 GMT 2024","Fri Jan 05 13:54:30 GMT 2024","2439","tests","test_misc","TestMiscellaneous","","","Contact Us Form",""
"passed","Fri Jan 05 13:54:18 GMT 2024","Fri Jan 05 13:54:19 GMT 2024","1164","tests","test_authorization","TestAuthorization","","","Login User with incorrect email and password",""
"passed","Fri Jan 05 13:54:34 GMT 2024","Fri Jan 05 13:54:36 GMT 2024","1892","tests","test_misc","TestMiscellaneous","","","Verify Subscription in home page",""
"passed","Fri Jan 05 13:54:21 GMT 2024","Fri Jan 05 13:54:23 GMT 2024","1887","tests","test_authorization","TestAuthorization","","","Logout User",""
