"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 14:17:35 GMT 2024","Fri Jan 05 14:17:40 GMT 2024","4855","tests","test_authorization","TestAuthorization","","","Register User",""
"passed","Fri Jan 05 14:17:49 GMT 2024","Fri Jan 05 14:17:49 GMT 2024","785","tests","test_authorization","TestAuthorization","","","Register User with existing email",""
"passed","Fri Jan 05 14:17:46 GMT 2024","Fri Jan 05 14:17:48 GMT 2024","1328","tests","test_authorization","TestAuthorization","","","Logout User",""
"passed","Fri Jan 05 14:17:59 GMT 2024","Fri Jan 05 14:18:00 GMT 2024","885","tests","test_products","TestProducts","","","Verify All Products and product detail page",""
"passed","Fri Jan 05 14:17:41 GMT 2024","Fri Jan 05 14:17:43 GMT 2024","2503","tests","test_authorization","TestAuthorization","","","Login User with correct email and password",""
"passed","Fri Jan 05 14:18:01 GMT 2024","Fri Jan 05 14:18:02 GMT 2024","886","tests","test_products","TestProducts","","","Search Product",""
"passed","Fri Jan 05 14:17:54 GMT 2024","Fri Jan 05 14:17:55 GMT 2024","522","tests","test_misc","TestMiscellaneous","","","Verify Test Cases Page",""
"passed","Fri Jan 05 14:17:56 GMT 2024","Fri Jan 05 14:17:57 GMT 2024","1885","tests","test_misc","TestMiscellaneous","","","Verify Subscription in home page",""
"passed","Fri Jan 05 14:17:44 GMT 2024","Fri Jan 05 14:17:45 GMT 2024","771","tests","test_authorization","TestAuthorization","","","Login User with incorrect email and password",""
"passed","Fri Jan 05 14:17:50 GMT 2024","Fri Jan 05 14:17:53 GMT 2024","2830","tests","test_misc","TestMiscellaneous","","","Contact Us Form",""
